Date,Name,SubDept,Department,Revenue,Cost,GP,Qty,Year,Week,Month,DOW
2026-03-23,BANANAS PER KG,Fruit,FRUIT & VEG,81.58,43.9921,37.5879,13.714,2026,2026-03-23,2026-03-01,Monday
2026-03-24,BANANAS PER KG,Fruit,FRUIT & VEG,297.01,159.57,137.44,53.19,2026,2026-03-23,2026-03-01,Tuesday
2026-03-25,BANANAS PER KG,Fruit,FRUIT & VEG,184.67,99.117,85.55299999999998,33.039,2026,2026-03-23,2026-03-01,Wednesday
2026-03-26,BANANAS PER KG,Fruit,FRUIT & VEG,64.58,34.653,29.927,11.551,2026,2026-03-23,2026-03-01,Thursday
2026-03-27,BANANAS PER KG,Fruit,FRUIT & VEG,453.02,243.456,209.564,81.152,2026,2026-03-23,2026-03-01,Friday
2026-03-28,BANANAS PER KG,Fruit,FRUIT & VEG,149.13,80.037,69.09299999999999,26.679,2026,2026-03-23,2026-03-01,Saturday
2026-03-30,BANANAS PER KG,Fruit,FRUIT & VEG,41.55,22.302,19.247999999999998,7.434,2026,2026-03-30,2026-03-01,Monday
2026-03-31,BANANAS PER KG,Fruit,FRUIT & VEG,325.27,177.7235,147.54649999999998,54.363,2026,2026-03-30,2026-03-01,Tuesday
2026-04-01,BANANAS PER KG,Fruit,FRUIT & VEG,193.09,105.546,87.544,32.285,2026,2026-03-30,2026-04-01,Wednesday
2026-04-02,BANANAS PER KG,Fruit,FRUIT & VEG,341.58,206.6168,134.96319999999997,63.201,2026,2026-03-30,2026-04-01,Thursday
2026-04-04,BANANAS PER KG,Fruit,FRUIT & VEG,49.78,29.8642,19.9158,9.135,2026,2026-03-30,2026-04-01,Saturday
2026-04-07,BANANAS PER KG,Fruit,FRUIT & VEG,37.82,22.6818,15.138200000000001,6.938,2026,2026-04-06,2026-04-01,Tuesday
2026-04-08,BANANAS PER KG,Fruit,FRUIT & VEG,308.18,184.8405,123.33950000000002,56.54,2026,2026-04-06,2026-04-01,Wednesday
2026-04-09,BANANAS PER KG,Fruit,FRUIT & VEG,130.08,78.0389,52.041100000000014,23.871,2026,2026-04-06,2026-04-01,Thursday
2026-04-10,BANANAS PER KG,Fruit,FRUIT & VEG,315.09,189.5743,125.51569999999998,57.988,2026,2026-04-06,2026-04-01,Friday
2026-04-11,BANANAS PER KG,Fruit,FRUIT & VEG,159.78,95.9741,63.805899999999994,29.357,2026,2026-04-06,2026-04-01,Saturday
2026-04-13,BANANAS PER KG,Fruit,FRUIT & VEG,100.86,61.7937,39.0663,19.896,2026,2026-04-13,2026-04-01,Monday
2026-04-14,BANANAS PER KG,Fruit,FRUIT & VEG,181.32,112.9423,68.37769999999999,36.433,2026,2026-04-13,2026-04-01,Tuesday
2026-04-15,BANANAS PER KG,Fruit,FRUIT & VEG,165.66,103.1339,62.5261,33.269,2026,2026-04-13,2026-04-01,Wednesday
2026-04-16,BANANAS PER KG,Fruit,FRUIT & VEG,127.19,79.0407,48.1493,25.497,2026,2026-04-13,2026-04-01,Thursday
